Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Actual,Attrition_Probability,Attrition_Prediction,Risk_Tier,AI_Displacement_Score,AI_Displacement_Tier,Quadrant
51,Travel_Frequently,968,Research & Development,6,2,Medical,2,0,40,2,1,Laboratory Technician,3,Single,2838,4257,0,0,14,3,2,0,8,6,2,7,0,7,7,0,0.104465164,0,Low,68.4,High,Restructuring Candidate
27,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,0,85,3,1,Research Scientist,2,Single,2478,20938,1,1,12,3,2,0,4,2,2,4,3,1,2,0,0.34508222,0,Medium,29.4,Low,Stable
41,Travel_Rarely,645,Sales,1,3,Marketing,2,1,49,4,3,Sales Executive,1,Married,8392,19566,1,0,16,3,3,1,10,2,3,10,7,0,7,0,0.004258734,0,Low,50.4,Medium,Restructuring Candidate
38,Non-Travel,1327,Sales,2,2,Life Sciences,4,1,39,2,2,Sales Executive,4,Married,5249,19682,3,0,18,3,4,1,13,0,3,8,7,7,5,0,0.0017763391,0,Low,50.4,Medium,Restructuring Candidate
30,Travel_Rarely,946,Research & Development,2,3,Medical,3,0,52,2,2,Manufacturing Director,4,Single,6877,20234,5,1,24,4,2,0,12,4,2,0,0,0,0,0,0.6736009,1,High,35.4,Medium,Retention Priority
35,Travel_Rarely,287,Research & Development,1,4,Life Sciences,3,0,62,1,1,Research Scientist,4,Married,2977,8952,1,0,12,3,4,1,4,5,3,4,3,1,1,0,0.001316517,0,Low,29.4,Low,Stable
29,Travel_Rarely,341,Sales,1,3,Medical,2,0,48,2,1,Sales Representative,3,Divorced,2800,23522,6,1,19,3,3,3,5,3,3,3,2,0,2,1,0.51043797,1,Medium,69.8,High,Double Exposure
31,Travel_Rarely,330,Research & Development,22,4,Medical,4,1,98,3,2,Manufacturing Director,3,Married,6179,21057,1,1,15,3,4,2,10,3,2,10,2,6,7,1,0.03506659,0,Low,35.4,Medium,Stable
45,Travel_Rarely,1457,Research & Development,7,3,Medical,1,0,83,3,1,Research Scientist,3,Married,4477,20100,4,1,19,3,3,1,7,2,2,3,2,0,2,0,0.0015840778,0,Low,29.4,Low,Stable
40,Non-Travel,1142,Research & Development,8,2,Life Sciences,4,1,72,3,2,Healthcare Representative,4,Divorced,4069,8841,3,1,18,3,3,0,8,2,3,2,2,2,2,0,0.004676948,0,Low,38.8,Medium,Stable
28,Travel_Rarely,857,Research & Development,10,3,Other,3,0,59,3,2,Research Scientist,3,Single,3660,7909,3,0,13,3,4,0,10,4,4,8,7,1,7,0,0.007216231,0,Low,29.4,Low,Stable
25,Travel_Rarely,891,Sales,4,2,Life Sciences,2,0,99,2,2,Sales Executive,4,Single,4487,12090,1,1,11,3,2,0,5,3,3,5,4,1,3,0,0.24824965,0,Low,50.4,Medium,Restructuring Candidate
42,Travel_Rarely,855,Research & Development,12,3,Medical,2,1,57,3,1,Laboratory Technician,2,Divorced,2766,8952,8,0,22,4,2,3,7,6,2,5,3,0,4,0,0.090912655,0,Low,68.4,High,Restructuring Candidate
51,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,1,53,1,3,Manufacturing Director,4,Single,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,1,0.018017141,0,Low,35.4,Medium,Stable
35,Travel_Rarely,882,Sales,3,4,Life Sciences,4,1,92,3,3,Sales Executive,4,Divorced,7823,6812,6,0,13,3,2,1,12,2,3,10,9,0,8,0,0.032222543,0,Low,50.4,Medium,Restructuring Candidate
41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,0,49,3,5,Research Director,3,Married,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,1,0.0035866327,0,Low,50.0,Medium,Restructuring Candidate
35,Travel_Rarely,819,Research & Development,18,5,Life Sciences,2,1,48,4,2,Research Scientist,1,Married,5208,26312,1,0,11,3,4,0,16,2,3,16,15,1,10,0,0.0037064338,0,Low,29.4,Low,Stable
48,Travel_Rarely,969,Research & Development,2,2,Technical Degree,4,1,76,4,1,Laboratory Technician,2,Single,2559,16620,5,0,11,3,3,0,7,4,2,1,0,0,0,0,0.34549546,0,Medium,68.4,High,Restructuring Candidate
45,Travel_Rarely,252,Research & Development,2,3,Life Sciences,2,0,95,2,1,Research Scientist,3,Single,2274,6153,1,0,14,3,4,0,1,3,3,1,0,0,0,0,0.012407864,0,Low,29.4,Low,Stable
49,Travel_Rarely,174,Sales,8,4,Technical Degree,4,1,56,2,4,Sales Executive,2,Married,13120,11879,6,0,17,3,2,1,22,3,3,9,8,2,3,0,0.011574782,0,Low,50.4,Medium,Restructuring Candidate
34,Travel_Rarely,546,Research & Development,10,3,Life Sciences,2,1,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1,0,14,3,2,2,1,3,3,1,0,1,0,0,0.39887926,0,Medium,68.4,High,Restructuring Candidate
33,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,1,70,3,1,Research Scientist,1,Single,3348,3164,1,1,11,3,1,0,10,3,3,10,8,9,7,1,0.9769009,1,High,29.4,Low,Retention Priority
37,Travel_Rarely,397,Research & Development,7,4,Medical,1,1,30,3,3,Research Director,3,Single,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0,0.028451094,0,Low,50.0,Medium,Restructuring Candidate
27,Travel_Rarely,954,Sales,9,3,Marketing,4,1,44,3,2,Sales Executive,4,Single,4105,5099,1,0,14,3,1,0,7,5,3,7,7,0,7,0,0.008074914,0,Low,50.4,Medium,Restructuring Candidate
30,Travel_Rarely,853,Research & Development,7,4,Life Sciences,3,1,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,0,13,3,1,3,10,4,2,10,7,8,9,0,0.13214599,0,Low,68.4,High,Restructuring Candidate
31,Non-Travel,335,Research & Development,9,2,Medical,3,1,46,2,1,Research Scientist,1,Single,2321,10322,0,1,22,4,1,0,4,0,3,3,2,1,2,1,0.7713791,1,High,29.4,Low,Retention Priority
51,Travel_Rarely,313,Research & Development,3,3,Medical,4,0,98,3,4,Healthcare Representative,2,Single,13734,7192,3,0,18,3,3,0,21,6,3,7,7,1,0,0,0.0011564173,0,Low,38.8,Medium,Stable
24,Travel_Rarely,477,Research & Development,24,3,Medical,4,1,49,3,1,Laboratory Technician,2,Single,3597,6409,8,0,22,4,4,0,6,2,3,4,3,1,2,0,0.18369636,0,Low,68.4,High,Restructuring Candidate
43,Travel_Rarely,1034,Sales,16,3,Marketing,4,0,80,3,4,Manager,4,Married,16064,7744,5,1,22,4,3,1,22,3,3,17,13,1,9,0,0.0021898544,0,Low,25.4,Low,Stable
56,Travel_Rarely,1443,Sales,11,5,Marketing,4,0,89,2,2,Sales Executive,1,Married,5380,20328,4,0,16,3,3,1,6,3,3,0,0,0,0,0,0.055539172,0,Low,50.4,Medium,Restructuring Candidate
30,Travel_Rarely,241,Research & Development,7,3,Medical,2,1,48,2,1,Research Scientist,2,Married,2141,5348,1,0,12,3,2,1,6,3,2,6,4,1,1,0,0.067020245,0,Low,29.4,Low,Stable
34,Travel_Rarely,1480,Sales,4,3,Life Sciences,3,1,64,3,3,Sales Executive,4,Married,9713,24444,2,1,13,3,4,3,9,3,3,5,3,1,0,0,0.14013599,0,Low,50.4,Medium,Restructuring Candidate
23,Travel_Rarely,160,Research & Development,4,1,Medical,3,0,51,3,1,Laboratory Technician,2,Single,3295,12862,1,0,13,3,3,0,3,3,1,3,2,1,2,0,0.14290923,0,Low,68.4,High,Restructuring Candidate
35,Travel_Frequently,146,Research & Development,2,4,Medical,1,1,79,2,1,Research Scientist,4,Single,4930,13970,0,1,14,3,3,0,6,2,4,5,4,1,4,0,0.10444612,0,Low,29.4,Low,Stable
39,Travel_Rarely,1431,Research & Development,1,4,Medical,3,0,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,0,14,3,3,3,7,1,3,3,2,1,2,0,0.0130793005,0,Low,68.4,High,Restructuring Candidate
28,Travel_Rarely,304,Sales,9,4,Life Sciences,2,1,92,3,2,Sales Executive,4,Single,5253,20750,1,0,16,3,4,0,7,1,3,7,5,0,7,0,0.03170998,0,Low,50.4,Medium,Restructuring Candidate
33,Travel_Frequently,430,Sales,7,3,Medical,4,1,54,3,2,Sales Executive,1,Married,4373,17456,0,0,14,3,1,2,5,2,3,4,3,0,3,0,0.07454153,0,Low,50.4,Medium,Restructuring Candidate
26,Travel_Frequently,1096,Research & Development,6,3,Other,3,1,61,4,1,Laboratory Technician,4,Married,2544,7102,0,0,18,3,1,1,8,3,3,7,7,7,7,0,0.027664863,0,Low,68.4,High,Restructuring Candidate
38,Travel_Rarely,345,Sales,10,2,Life Sciences,1,0,100,3,2,Sales Executive,4,Married,5343,5982,1,0,11,3,3,1,10,1,3,10,7,1,9,0,0.05777748,0,Low,50.4,Medium,Restructuring Candidate
35,Travel_Rarely,1402,Sales,28,4,Life Sciences,2,0,98,2,1,Sales Representative,3,Married,2430,26204,0,0,23,4,1,2,6,5,3,5,3,4,2,0,0.0058735046,0,Low,69.8,High,Restructuring Candidate
35,Travel_Rarely,1258,Research & Development,1,4,Life Sciences,4,0,40,4,1,Research Scientist,3,Single,2506,13301,3,0,13,3,3,0,7,0,3,2,2,2,2,0,0.0014622296,0,Low,29.4,Low,Stable
37,Travel_Rarely,1225,Research & Development,10,2,Life Sciences,4,1,80,4,1,Research Scientist,4,Single,4680,15232,3,0,17,3,1,0,4,2,3,1,0,0,0,0,0.013727864,0,Low,29.4,Low,Stable
40,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,0,75,3,4,Manufacturing Director,3,Single,13237,20364,7,0,15,3,3,0,22,3,3,20,6,5,13,0,0.00061275257,0,Low,35.4,Medium,Stable
31,Travel_Rarely,542,Sales,20,3,Life Sciences,2,0,71,1,2,Sales Executive,3,Married,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,1,0.25809693,0,Low,50.4,Medium,Restructuring Candidate
29,Travel_Rarely,657,Research & Development,27,3,Medical,2,0,66,3,2,Healthcare Representative,3,Married,4335,25549,4,0,12,3,1,1,11,3,2,8,7,1,1,0,0.10436502,0,Low,38.8,Medium,Stable
59,Travel_Rarely,326,Sales,3,3,Life Sciences,3,0,48,2,2,Sales Executive,4,Single,5171,16490,5,0,17,3,4,0,13,2,3,6,1,0,5,0,0.110672876,0,Low,50.4,Medium,Restructuring Candidate
32,Travel_Rarely,601,Sales,7,5,Marketing,4,1,97,3,2,Sales Executive,4,Married,9204,23343,4,0,12,3,3,1,7,3,2,4,3,0,3,0,0.02926789,0,Low,50.4,Medium,Restructuring Candidate
33,Travel_Rarely,267,Research & Development,21,3,Medical,2,1,79,4,1,Laboratory Technician,2,Married,2028,13637,1,0,18,3,4,3,14,6,3,14,11,2,13,0,0.04308204,0,Low,68.4,High,Restructuring Candidate
27,Travel_Rarely,894,Research & Development,9,3,Medical,4,0,99,3,1,Research Scientist,2,Single,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,0,0.020125855,0,Low,29.4,Low,Stable
43,Non-Travel,343,Research & Development,9,3,Life Sciences,1,1,52,3,1,Research Scientist,3,Single,2438,24978,4,0,13,3,3,0,7,2,2,3,2,1,2,0,0.08348137,0,Low,29.4,Low,Stable
34,Travel_Rarely,628,Research & Development,8,3,Medical,2,1,82,4,2,Laboratory Technician,3,Married,4404,10228,2,0,12,3,1,0,6,3,4,4,3,1,2,0,0.12873213,0,Low,68.4,High,Restructuring Candidate
37,Travel_Rarely,1239,Human Resources,8,2,Other,3,1,89,3,2,Human Resources,2,Divorced,4071,12832,2,0,13,3,3,0,19,4,2,10,0,4,7,0,0.011059584,0,Low,55.2,Medium,Restructuring Candidate
36,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,1,95,2,2,Manufacturing Director,2,Single,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0,0.029149601,0,Low,35.4,Medium,Stable
26,Travel_Rarely,920,Human Resources,20,2,Medical,4,0,69,3,1,Human Resources,2,Married,2148,6889,0,1,11,3,3,0,6,3,3,5,1,1,4,1,0.2710769,0,Low,55.2,Medium,Restructuring Candidate
41,Travel_Rarely,1283,Research & Development,5,5,Medical,2,1,90,4,1,Research Scientist,3,Married,2127,5561,2,1,12,3,1,0,7,5,2,4,2,0,3,0,0.30111215,0,Low,29.4,Low,Stable
32,Non-Travel,862,Sales,2,1,Life Sciences,3,0,76,3,1,Sales Representative,1,Divorced,2827,14947,1,0,12,3,3,3,1,3,3,1,0,0,0,0,0.07064847,0,Low,69.8,High,Restructuring Candidate
35,Travel_Rarely,1146,Human Resources,26,4,Life Sciences,3,0,31,3,3,Human Resources,4,Single,8837,16642,1,1,16,3,3,0,9,2,3,9,0,1,7,0,0.06604114,0,Low,55.2,Medium,Restructuring Candidate
39,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,0,47,2,2,Sales Executive,3,Married,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,0,0.0011050433,0,Low,50.4,Medium,Restructuring Candidate
59,Travel_Rarely,1429,Research & Development,18,4,Medical,4,1,67,3,3,Manufacturing Director,4,Single,10512,20002,6,0,12,3,4,0,25,6,2,9,7,5,4,0,0.008374515,0,Low,35.4,Medium,Stable
29,Travel_Rarely,1082,Research & Development,9,4,Medical,4,0,43,3,1,Laboratory Technician,3,Married,2974,25412,9,0,17,3,3,1,9,2,3,5,3,1,2,0,0.025723953,0,Low,68.4,High,Restructuring Candidate
34,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,0,45,2,2,Research Scientist,2,Divorced,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,0,0.022023076,0,Low,29.4,Low,Stable
45,Travel_Rarely,556,Research & Development,25,2,Life Sciences,2,0,93,2,2,Manufacturing Director,4,Married,5906,23888,0,0,13,3,4,2,10,2,2,9,8,3,8,0,0.0009060217,0,Low,35.4,Medium,Stable
49,Travel_Rarely,1490,Research & Development,7,4,Life Sciences,3,1,35,3,3,Healthcare Representative,2,Divorced,10466,20948,3,0,14,3,2,2,29,3,3,8,7,0,7,0,0.00037309693,0,Low,38.8,Medium,Stable
38,Travel_Rarely,119,Sales,3,3,Life Sciences,1,1,76,3,3,Sales Executive,3,Divorced,10609,9647,0,0,12,3,3,2,17,6,2,16,10,5,13,0,0.013980081,0,Low,50.4,Medium,Restructuring Candidate
31,Travel_Rarely,311,Research & Development,20,3,Life Sciences,2,1,89,3,2,Laboratory Technician,3,Divorced,4197,18624,1,0,11,3,1,1,10,2,3,10,8,0,2,0,0.1375401,0,Low,68.4,High,Restructuring Candidate
30,Non-Travel,111,Research & Development,9,3,Medical,3,1,66,3,2,Laboratory Technician,1,Divorced,3072,11012,1,0,11,3,3,2,12,4,3,12,9,6,10,0,0.025272701,0,Low,68.4,High,Restructuring Candidate
33,Non-Travel,1283,Sales,2,3,Marketing,4,0,62,3,2,Sales Executive,2,Single,5147,10697,8,0,15,3,4,0,13,2,2,11,7,1,7,0,0.08315843,0,Low,50.4,Medium,Restructuring Candidate
26,Travel_Frequently,342,Research & Development,2,3,Life Sciences,1,1,57,3,1,Research Scientist,1,Married,2042,15346,6,1,14,3,2,1,6,2,3,3,2,1,2,1,0.9504894,1,High,29.4,Low,Retention Priority
58,Travel_Rarely,147,Research & Development,23,4,Medical,4,0,94,3,3,Healthcare Representative,4,Married,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,1,0.009054288,0,Low,38.8,Medium,Stable
53,Travel_Rarely,1282,Research & Development,5,3,Other,3,0,58,3,5,Manager,3,Divorced,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0,0.0025661062,0,Low,25.4,Low,Stable
27,Travel_Rarely,511,Sales,2,2,Medical,1,0,89,4,2,Sales Executive,3,Single,6500,26997,0,0,14,3,2,0,9,5,2,8,7,0,7,0,0.0014231191,0,Low,50.4,Medium,Restructuring Candidate
40,Travel_Rarely,369,Research & Development,8,2,Life Sciences,2,0,92,3,2,Manufacturing Director,1,Married,6516,5041,2,1,16,3,2,1,18,3,3,1,0,0,0,0,0.044973407,0,Low,35.4,Medium,Stable
38,Travel_Rarely,1495,Research & Development,10,3,Medical,3,0,76,3,2,Healthcare Representative,3,Married,9824,22174,3,0,19,3,3,1,18,4,3,1,0,0,0,0,0.0008618991,0,Low,38.8,Medium,Stable
44,Travel_Rarely,1376,Human Resources,1,2,Medical,2,1,91,2,3,Human Resources,1,Married,10482,2326,9,0,14,3,4,1,24,1,3,20,6,3,6,1,0.002375696,0,Low,55.2,Medium,Restructuring Candidate
41,Non-Travel,509,Research & Development,2,4,Other,1,0,62,2,2,Healthcare Representative,3,Single,6811,2112,2,1,17,3,1,0,10,3,3,8,7,0,7,0,0.04250658,0,Low,38.8,Medium,Stable
37,Travel_Frequently,1278,Sales,1,4,Medical,3,1,31,1,2,Sales Executive,4,Divorced,9525,7677,1,0,14,3,3,2,6,2,2,6,3,1,3,0,0.0034820838,0,Low,50.4,Medium,Restructuring Candidate
46,Travel_Rarely,526,Sales,1,2,Marketing,2,0,92,3,3,Sales Executive,1,Divorced,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7,0,0.008321372,0,Low,50.4,Medium,Restructuring Candidate
52,Travel_Rarely,699,Research & Development,1,4,Life Sciences,3,1,65,2,5,Manager,3,Married,19999,5678,0,0,14,3,1,1,34,5,3,33,18,11,9,0,0.01467522,0,Low,25.4,Low,Stable
25,Travel_Frequently,599,Sales,24,1,Life Sciences,3,1,73,1,1,Sales Representative,4,Single,1118,8040,1,1,14,3,4,0,1,4,3,1,0,1,0,1,0.9969657,1,High,69.8,High,Double Exposure
29,Travel_Frequently,1404,Sales,20,3,Technical Degree,3,0,84,3,1,Sales Representative,4,Married,2157,18203,1,0,15,3,2,1,3,5,3,3,1,0,2,0,0.116534784,0,Low,69.8,High,Restructuring Candidate
31,Travel_Frequently,444,Sales,5,3,Marketing,4,0,84,3,1,Sales Representative,2,Divorced,2789,3909,1,0,11,3,3,1,2,5,2,2,2,2,2,0,0.33689672,0,Medium,69.8,High,Restructuring Candidate
25,Travel_Rarely,383,Sales,9,2,Life Sciences,1,1,68,2,1,Sales Representative,1,Married,4400,15182,3,0,12,3,1,0,6,2,3,3,2,2,2,1,0.23288642,0,Low,69.8,High,Restructuring Candidate
24,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,0,32,3,1,Research Scientist,4,Single,3760,17218,1,1,13,3,3,0,6,2,3,6,3,1,3,0,0.42279527,0,Medium,29.4,Low,Stable
29,Travel_Rarely,992,Research & Development,1,3,Technical Degree,3,1,85,3,1,Research Scientist,3,Single,2058,19757,0,0,14,3,4,0,7,1,2,6,2,1,5,1,0.0015716202,0,Low,29.4,Low,Stable
25,Travel_Rarely,1382,Sales,8,2,Other,1,0,85,3,2,Sales Executive,3,Divorced,4907,13684,0,1,22,4,2,1,6,3,2,5,3,0,4,0,0.05103141,0,Low,50.4,Medium,Restructuring Candidate
35,Travel_Frequently,482,Research & Development,4,4,Life Sciences,3,1,87,3,2,Research Scientist,3,Single,4249,2690,1,1,11,3,2,0,9,3,3,9,6,1,1,0,0.3003386,0,Low,29.4,Low,Stable
46,Travel_Rarely,430,Research & Development,1,4,Medical,4,1,40,3,5,Research Director,4,Divorced,19627,21445,9,0,17,3,4,2,23,0,3,2,2,2,2,0,0.000943075,0,Low,50.0,Medium,Restructuring Candidate
42,Travel_Rarely,188,Research & Development,29,3,Medical,2,1,56,1,2,Laboratory Technician,4,Single,4272,9558,4,0,19,3,1,0,16,3,3,1,0,0,0,0,0.038470417,0,Low,68.4,High,Restructuring Candidate
37,Travel_Rarely,571,Research & Development,10,1,Life Sciences,4,0,82,3,1,Research Scientist,1,Divorced,2782,19905,0,1,13,3,2,2,6,3,2,5,3,4,3,0,0.0019686532,0,Low,29.4,Low,Stable
27,Travel_Rarely,1054,Research & Development,8,3,Medical,3,0,67,3,1,Research Scientist,4,Single,3445,6152,1,0,11,3,3,0,6,5,2,6,2,1,4,0,0.009728053,0,Low,29.4,Low,Stable
38,Travel_Rarely,1404,Sales,1,3,Life Sciences,1,1,59,2,1,Sales Representative,1,Single,2858,11473,4,0,14,3,1,0,20,3,2,1,0,0,0,0,0.6863337,1,High,69.8,High,Double Exposure
36,Non-Travel,301,Sales,15,4,Marketing,4,1,88,1,2,Sales Executive,4,Divorced,5406,10436,1,0,24,4,1,1,15,4,2,15,12,11,11,0,0.015931223,0,Low,50.4,Medium,Restructuring Candidate
27,Travel_Rarely,618,Research & Development,4,3,Life Sciences,2,0,76,3,1,Research Scientist,3,Single,2318,17808,1,0,19,3,3,0,1,2,3,1,1,0,0,0,0.018659402,0,Low,29.4,Low,Stable
40,Travel_Rarely,1416,Research & Development,2,2,Medical,1,1,49,3,5,Research Director,3,Divorced,19436,5949,0,0,19,3,4,1,22,5,3,21,7,3,9,0,0.00017788942,0,Low,50.0,Medium,Restructuring Candidate
44,Travel_Rarely,935,Research & Development,3,3,Life Sciences,1,1,89,3,1,Laboratory Technician,1,Married,2362,14669,4,0,12,3,3,0,10,4,4,3,2,1,2,1,0.27423844,0,Low,68.4,High,Restructuring Candidate
34,Travel_Rarely,1351,Research & Development,1,4,Life Sciences,2,1,45,3,2,Research Scientist,4,Married,5484,13008,9,0,17,3,2,1,9,3,2,2,2,2,1,0,0.0010334759,0,Low,29.4,Low,Stable
36,Travel_Rarely,559,Research & Development,12,4,Life Sciences,3,0,76,3,2,Manufacturing Director,3,Married,4663,12421,9,1,12,3,2,2,7,2,3,3,2,1,1,0,0.05015607,0,Low,35.4,Medium,Stable
28,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,1,67,2,1,Research Scientist,2,Married,3201,19911,0,0,17,3,1,0,6,2,1,5,3,0,4,0,0.06690306,0,Low,29.4,Low,Stable
56,Travel_Rarely,206,Human Resources,8,4,Life Sciences,4,1,99,3,5,Manager,2,Single,19717,4022,6,0,14,3,1,0,36,4,3,7,3,7,7,0,0.008143221,0,Low,25.4,Low,Stable
35,Non-Travel,1097,Research & Development,11,2,Medical,3,1,79,2,3,Healthcare Representative,1,Married,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,0,0.018403659,0,Low,38.8,Medium,Stable
40,Travel_Rarely,329,Research & Development,1,4,Life Sciences,2,1,88,3,1,Laboratory Technician,2,Married,2387,6762,3,0,22,4,3,1,7,3,3,4,2,0,3,0,0.0041784327,0,Low,68.4,High,Restructuring Candidate
41,Travel_Rarely,263,Research & Development,6,3,Medical,4,1,59,3,1,Laboratory Technician,1,Single,4721,3119,2,1,13,3,3,0,20,3,3,18,13,2,17,0,0.06779806,0,Low,68.4,High,Restructuring Candidate
30,Travel_Rarely,921,Research & Development,1,3,Life Sciences,4,1,38,1,1,Laboratory Technician,3,Married,3833,24375,3,0,21,4,3,2,7,2,3,2,2,0,2,0,0.01844282,0,Low,68.4,High,Restructuring Candidate
46,Travel_Frequently,1034,Research & Development,18,1,Medical,1,0,86,3,3,Healthcare Representative,3,Married,10527,8984,5,0,11,3,4,0,28,3,2,2,2,1,2,0,0.010907079,0,Low,38.8,Medium,Stable
30,Travel_Frequently,721,Research & Development,1,2,Medical,3,0,58,3,2,Laboratory Technician,4,Single,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,0,0.026832879,0,Low,68.4,High,Restructuring Candidate
35,Travel_Rarely,819,Research & Development,2,3,Life Sciences,3,1,44,2,3,Manufacturing Director,2,Divorced,10274,19588,2,0,18,3,2,1,15,2,4,7,7,6,4,0,0.006630809,0,Low,35.4,Medium,Stable
